,CC97.SLX.8969.N701_N501.bam,CC97.SLX.8969.N701_N502.bam,CC97.SLX.8969.N701_N503.bam,CC97.SLX.8969.N701_N504.bam,CC97.SLX.8969.N701_N505.bam,CC97.SLX.8969.N701_N506.bam,CC97.SLX.8969.N701_N507.bam,CC97.SLX.8969.N701_N508.bam,CC97.SLX.8969.N702_N501.bam,CC97.SLX.8969.N702_N502.bam,CC97.SLX.8969.N702_N503.bam,CC97.SLX.8969.N702_N504.bam,CC97.SLX.8969.N702_N505.bam,CC97.SLX.8969.N702_N506.bam,CC97.SLX.8969.N702_N507.bam,CC97.SLX.8969.N702_N508.bam,CC97.SLX.8969.N703_N501.bam,CC97.SLX.8969.N703_N502.bam,CC97.SLX.8969.N703_N503.bam,CC97.SLX.8969.N703_N504.bam,CC97.SLX.8969.N703_N505.bam,CC97.SLX.8969.N703_N506.bam,CC97.SLX.8969.N703_N507.bam,CC97.SLX.8969.N703_N508.bam,CC97.SLX.8969.N704_N501.bam,CC97.SLX.8969.N704_N502.bam,CC97.SLX.8969.N704_N503.bam,CC97.SLX.8969.N704_N504.bam,CC97.SLX.8969.N704_N505.bam,CC97.SLX.8969.N704_N506.bam,CC97.SLX.8969.N704_N507.bam,CC97.SLX.8969.N704_N508.bam,CC97.SLX.8969.N705_N501.bam,CC97.SLX.8969.N705_N502.bam,CC97.SLX.8969.N705_N503.bam,CC97.SLX.8969.N705_N504.bam,CC97.SLX.8969.N705_N505.bam,CC97.SLX.8969.N705_N506.bam,CC97.SLX.8969.N705_N507.bam,CC97.SLX.8969.N705_N508.bam,CC97.SLX.8969.N706_N501.bam,CC97.SLX.8969.N706_N502.bam,CC97.SLX.8969.N706_N503.bam,CC97.SLX.8969.N706_N504.bam,CC97.SLX.8969.N706_N505.bam,CC97.SLX.8969.N706_N506.bam,CC97.SLX.8969.N706_N507.bam,CC97.SLX.8969.N706_N508.bam,CC97.SLX.8969.N707_N501.bam,CC97.SLX.8969.N707_N502.bam,CC97.SLX.8969.N707_N503.bam,CC97.SLX.8969.N707_N504.bam,CC97.SLX.8969.N707_N505.bam,CC97.SLX.8969.N707_N506.bam,CC97.SLX.8969.N707_N507.bam,CC97.SLX.8969.N707_N508.bam,CC97.SLX.8969.N708_N501.bam,CC97.SLX.8969.N708_N502.bam,CC97.SLX.8969.N708_N503.bam,CC97.SLX.8969.N708_N504.bam,CC97.SLX.8969.N708_N505.bam,CC97.SLX.8969.N708_N506.bam,CC97.SLX.8969.N708_N507.bam,CC97.SLX.8969.N708_N508.bam,CC97.SLX.8969.N709_N501.bam,CC97.SLX.8969.N709_N502.bam,CC97.SLX.8969.N709_N503.bam,CC97.SLX.8969.N709_N504.bam,CC97.SLX.8969.N709_N505.bam,CC97.SLX.8969.N709_N506.bam,CC97.SLX.8969.N709_N507.bam,CC97.SLX.8969.N709_N508.bam,CC97.SLX.8969.N710_N501.bam,CC97.SLX.8969.N710_N502.bam,CC97.SLX.8969.N710_N503.bam,CC97.SLX.8969.N710_N504.bam,CC97.SLX.8969.N710_N505.bam,CC97.SLX.8969.N710_N506.bam,CC97.SLX.8969.N710_N507.bam,CC97.SLX.8969.N710_N508.bam,CC97.SLX.8969.N711_N501.bam,CC97.SLX.8969.N711_N502.bam,CC97.SLX.8969.N711_N503.bam,CC97.SLX.8969.N711_N504.bam,CC97.SLX.8969.N711_N505.bam,CC97.SLX.8969.N711_N506.bam,CC97.SLX.8969.N711_N507.bam,CC97.SLX.8969.N711_N508.bam,CC97.SLX.8969.N712_N501.bam,CC97.SLX.8969.N712_N502.bam,CC97.SLX.8969.N712_N503.bam,CC97.SLX.8969.N712_N504.bam,CC97.SLX.8969.N712_N505.bam,CC97.SLX.8969.N712_N506.bam,CC97.SLX.8969.N712_N507.bam,CC97.SLX.8969.N712_N508.bam
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL669831.1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
SAMD11,0,0,0,0,235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOC2L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KLHL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
